Unnamed: 0,Video_File,Duration,Scene_Cuts,Mean_Frame_Duration,Frame_Duration_Std,Min_Frame_Duration,Max_Frame_Duration,Volume_Range,Avg_Motion_Magnitude,Avg_Vector_Count,Animated_Text,Emoji_Count,Speech_Detected_AST,Video_ID,TikTok_URL,Username,ID,URL,Date,Package,Pouch,Nic_Level,Brand_ZYN,Brand_Velo,Brand_Pablo,Brand_Iceberg,Brand_Other,Music_x,ONP_use,Flavors_fruit,Flavors_Ice,Flavors_Other,Tobacco,Vapes,Alcohol,Marjiana,Misinformation,VT_Lifestyle,VT_Entertaining,VT_Marketing,VT_Anti_ONP,VT_Quit_with_ONP,VT_ONP_Sport,VT_Instructional,VT_Trying_to_Quit_ONPs,VT_ONP_News,VT_Other,Foreign_language,human_subjects,ethnic_minority,child_adoles,YA,Influencer,Nic_Level_mg_1,Nic_Level_mg_2,Use_More_than_two_pouches_1,Use_More_than_two_pouches_2,Positive,Negative,Neutral,Flavors,Substance,Loop,Siberia,Killa,Epok,Brands,Location,Followers_New,Following_New,Friends_New,Total_Likes_New,Total_Videos_New,Views_New,Likes_New,Comments_New,Saves_New,Shares_New,new_stats,FOLLOWERS,VIEWS,Music_y,Captions,
389,@karl_persson__video_7211516190680763654.mp4,52.552553,12,41.7083750417084,7.105427357601E-15,41.7083750417084,41.7083750417084,1.4884272,0.71654534,113700.677521843,1,0,0,7211516190680763654,,,1106,https://www.tiktok.com/@karl_persson_/video/7211516190680763654,17-Mar-2023 07:06AM,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,karl_persson_,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SE,47900.0,200.0,121.0,1200000.0,156.0,22000.0,2203.0,23.0,281.0,606.0,1.0,47900.0,22000.0,,,
390,@joeyneus_video_7145218123086449966.mp4,14.052993,0,33.3333333333333,7.105427357601E-15,33.3333333333333,33.3333333333333,1.859573,1.7014465,262145.278571429,1,0,1,7145218123086449966,https://www.tiktok.com/joeyneus/video/7145218123086449966,joeyneus,2061,https://www.tiktok.com/@joeyneus/video/7145218123086449966,19-Sep-2022 03:15PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,joeyneus,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,272.0,111.0,85.0,20800.0,8.0,14000.0,875.0,27.0,42.0,39.0,1.0,272.0,14000.0,,,
391,@jhiser522_video_7234680638706765102.mp4,7.666667,2,33.3333333333333,7.105427357601E-15,33.3333333333333,33.3333333333333,1.1159071,3.130401,601405.64628821,1,0,0,7234680638706765102,https://www.tiktok.com/jhiser522/video/7234680638706765102,jhiser522,705,https://www.tiktok.com/@jhiser522/video/7234680638706765102,18-May-2023 05:15PM,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,jhiser522,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,US,20600.0,1097.0,135.0,1300000.0,407.0,2500000.0,220300.0,959.0,8803.0,17600.0,1.0,20600.0,2500000.0,,,
392,@valiip7_video_7264260269025561888.mp4,9.379002,2,33.3333333333333,0.0,33.3333333333333,33.3333333333333,1.8029501,4.226629,269322.707142857,1,0,0,7264260269025561888,https://www.tiktok.com/valiip7/video/7264260269025561888,valiip7,82,https://www.tiktok.com/@valiip7/video/7264260269025561888,06-Aug-2023 10:19AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,valiip7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,43000.0,337.0,120.0,1000000.0,96.0,276300.0,35500.0,81.0,2107.0,499.0,1.0,43000.0,276300.0,,,
393,@polletestar_video_7184059512171531525.mp4,91.958625,2,33.3667000333667,7.105427357601E-15,33.3667000333667,33.3667000333667,1.2772906,1.4164385,124464.066061706,1,0,1,7184059512171531525,https://www.tiktok.com/polletestar/video/7184059512171531525,polletestar,1483,https://www.tiktok.com/@polletestar/video/7184059512171531525,02-Jan-2023 06:20AM,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,polletestar,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SE,14300.0,53.0,37.0,278800.0,236.0,10200.0,980.0,13.0,31.0,23.0,1.0,14300.0,10200.0,,,
394,@b_mer47_video_7134375432652082475.mp4,7.590998,0,33.3667000333667,7.105427357601E-15,33.3667000333667,33.3667000333667,0.5440013,2.1551733,158825.327433628,0,0,0,7134375432652082475,,,2282,https://www.tiktok.com/@b_mer47/video/7134375432652082475,21-Aug-2022 10:00AM,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b_mer47,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,US,11600.0,72.0,31.0,661400.0,563.0,1218.0,29.0,0.0,1.0,0.0,1.0,11600.0,1218.0,,,
395,@la.speciale_video_7204211231903747333.mp4,5.849977,0,33.3333333333333,0.0,33.3333333333333,33.3333333333333,1.1620473,0.6689087,84145.0574712644,1,0,0,7204211231903747333,https://www.tiktok.com/la.speciale/video/7204211231903747333,la.speciale,1224,https://www.tiktok.com/@la.speciale/video/7204211231903747333,25-Feb-2023 01:39PM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,la.speciale,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FR,34400.0,135.0,120.0,1500000.0,241.0,44400.0,913.0,33.0,32.0,30.0,1.0,34400.0,44400.0,,,
396,@yourboymoyo_video_7206385581662817542.mp4,60.416871,5,33.3701657458564,0.0,33.3701657458564,33.3701657458564,1.8167892,1.065836,128346.241569928,1,0,1,7206385581662817542,https://www.tiktok.com/yourboymoyo/video/7206385581662817542,yourboymoyo,1187,https://www.tiktok.com/@yourboymoyo/video/7206385581662817542,03-Mar-2023 10:16AM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,yourboymoyo,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,GB,3000000.0,514.0,441.0,123600000.0,1374.0,1400000.0,229000.0,2378.0,12777.0,26700.0,1.0,3000000.0,1400000.0,,,
397,@thatguycrazysteve_video_7244564906756918555.mp4,8.45,0,33.8666666666667,7.105427357601E-15,33.8666666666667,33.8666666666667,1.0070333,0.74126804,79996.2088353414,1,0,1,7244564906756918555,https://www.tiktok.com/thatguycrazysteve/video/7244564906756918555,thatguycrazysteve,532,https://www.tiktok.com/@thatguycrazysteve/video/7244564906756918555,14-Jun-2023 08:32AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,thatguycrazysteve,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,3637.0,20.0,9.0,971200.0,70.0,238.0,14.0,0.0,2.0,0.0,1.0,3637.0,238.0,,,
398,@la.speciale_video_7221227502218382598.mp4,8.009002,0,33.3333333333333,1.4210854715202E-14,33.3333333333333,33.3333333333333,1.5927813,0.7886974,96779.512605042,1,0,0,7221227502218382598,https://www.tiktok.com/la.speciale/video/7221227502218382598,la.speciale,929,https://www.tiktok.com/@la.speciale/video/7221227502218382598,12-Apr-2023 11:10AM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,la.speciale,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FR,34400.0,135.0,120.0,1500000.0,241.0,24600.0,677.0,12.0,21.0,35.0,1.0,34400.0,24600.0,,,
399,@saverinolathi_video_7163324687366376709.mp4,41.08,3,40.2745098039216,0.0,40.2745098039216,40.2745098039216,1.1362214,0.83410925,74747.0893032385,1,0,1,7163324687366376709,https://www.tiktok.com/saverinolathi/video/7163324687366376709,saverinolathi,1736,https://www.tiktok.com/@saverinolathi/video/7163324687366376709,07-Nov-2022 09:18AM,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,saverinolathi,,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,CH,30300.0,1798.0,1073.0,250900.0,447.0,19500.0,1889.0,55.0,191.0,44.0,1.0,30300.0,19500.0,,,
400,@polletestar_video_7201496299701619974.mp4,55.266667,4,33.3333333333333,7.105427357601E-15,33.3333333333333,33.3333333333333,1.9036746,1.2964329,128404.06095353,1,0,1,7201496299701619974,https://www.tiktok.com/polletestar/video/7201496299701619974,polletestar,1262,https://www.tiktok.com/@polletestar/video/7201496299701619974,18-Feb-2023 06:03AM,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,polletestar,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,SE,14300.0,53.0,37.0,278800.0,236.0,4900.0,177.0,2.0,5.0,6.0,1.0,14300.0,4900.0,,,
401,@simonhelander02_video_7218242618264734982.mp4,6.633333,3,33.3333333333333,0.0,33.3333333333333,33.3333333333333,0.5219706,7.70176,495400.19696969700,0,0,1,7218242618264734982,https://www.tiktok.com/simonhelander02/video/7218242618264734982,simonhelander02,988,https://www.tiktok.com/@simonhelander02/video/7218242618264734982,04-Apr-2023 10:07AM,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simonhelander02,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE,8118.0,127.0,85.0,140500.0,71.0,297800.0,6747.0,15.0,374.0,1468.0,1.0,8118.0,297800.0,,,
